"a_fecha","playerRanking","code","name","age","imageUrl","team_code","team_tvCodes","team_name","team_imageUrl","gamesPlayed","gamesStarted","minutesPlayed","pointsScored","twoPointersMade","twoPointersAttempted","twoPointersPercentage","threePointersMade","threePointersAttempted","threePointersPercentage","freeThrowsMade","freeThrowsAttempted","freeThrowsPercentage","offensiveRebounds","defensiveRebounds","totalRebounds","assists","steals","turnovers","blocks","blocksAgainst","foulsCommited","foulsDrawn","pir"
"28-01-2026 04:48:42",113,"013909","HALE, HUNTER",28,"https://media-cdn.cortextech.io/c23ade59-8fc4-4404-81bd-38edde758bb1.png","BAH","BKS","Bahcesehir Koleji Istanbul","https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png",15,4,18.4588888888889,10.1,1.6,3.2,"50%",1.7,4.8,"34.7%",1.9,2.3,"82.9%",0.3,2.1,2.4,2.1,0.7,1.5,0.1,0.5,2.1,1.9,8.1
"28-01-2026 04:48:42",114,"013261","LEMAR, BRYNTON",30,"https://media-cdn.cortextech.io/a990936a-c56b-42cd-bd46-f2cdeadd2681.png","BES","BJK","Besiktas Istanbul","https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png",14,0,19.5095238095238,9.4,1.6,3.1,"50%",1.3,3.4,"38.3%",2.4,3,"81%",0.7,1.1,1.8,2.2,0.4,1,0.1,0.6,2.8,2.6,8
"28-01-2026 04:48:42",115,"003759","TESSITORI,  AMEDEO",31,"https://media-cdn.cortextech.io/d1229f03-6e75-4398-9f37-e7f878d4fa20.png","VNC","URV","Umana Reyer Venice","https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png",15,1,13.3011111111111,6.1,2.1,4,"51.7%",0,0.5,"0%",1.9,3.2,"60.4%",1.5,2.7,4.1,0.9,0.3,0.8,0.6,0.2,2.5,3.1,7.9
"28-01-2026 04:48:42",116,"013894","BREWER, TY",25,"https://media-cdn.cortextech.io/0420bb4f-166c-4f08-8984-ec7f07b5b58e.png","NIN","NIN","NINERS Chemnitz","https://media-cdn.cortextech.io/75ae96be-69f9-4e48-b5bd-b1056842db57.png",12,6,26.0138888888889,8.4,1.3,2.3,"57.1%",1.5,5.8,"26.1%",1.2,1.8,"71.4%",1.1,2.6,3.7,0.8,1.4,0.5,0.2,0,2.3,1.8,7.8
"28-01-2026 04:48:42",117,"007917","DURMAZ, BERKAN",28,"https://media-cdn.cortextech.io/bdb7b2af-4d7a-4ee9-851c-491d75e9dc15.png","TTK","TTA","Turk Telekom Ankara","https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png",16,3,14.0385416666667,5.6,1.2,1.7,"70.4%",0.6,2,"28.1%",1.5,2.1,"70.6%",0.4,2.8,3.2,1.2,0.6,0.4,0.2,0.1,2.1,2.1,7.7
"28-01-2026 04:48:42",118,"012622","MITCHELL, MATTHEW",26,"https://media-cdn.cortextech.io/e4dcdc8b-c59a-426e-8605-116d19203045.png","BAH","BKS","Bahcesehir Koleji Istanbul","https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png",15,11,22.03,7.7,1.9,3.5,"52.8%",0.5,1.8,"29.6%",2.4,3.3,"72%",0.6,2,2.6,1.4,1.2,1.1,0.1,0.1,3.1,2.8,7.7
"28-01-2026 04:48:42",119,"005415","PENAVA, AJDIN",28,"https://media-cdn.cortextech.io/d12c4301-119a-41dd-b4d2-9e06edd8f0ce.png","WRO","WKS","WKS Slask Wroclaw","https://media-cdn.incrowdsports.com/0415061b-5374-4a0d-bc04-8fcbc8ad0bb3.png",13,2,14.1589743589744,7.8,1.9,3.6,"53.2%",0.7,1.2,"56.2%",1.8,2.5,"75%",1.2,1.7,2.9,0.5,0.5,0.7,0.4,0.4,2.6,1.9,7.5
"28-01-2026 04:48:42",120,"010461","MALDUNAS, GABRIELIUS",32,"https://media-cdn.cortextech.io/11b230d7-ea27-45cf-84a3-ae27c92f8c39.png","LKB","LIE","Lietkabelis Panevezys ","https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png",16,1,16.6270833333333,3.9,1.5,2.9,"51.1%",0,0,"0%",0.9,1.6,"57.7%",1.2,2.2,3.4,1.6,0.8,0.3,0.1,0.2,1.8,1.9,7.4
"28-01-2026 04:48:42",121,"013905","SKAPINTSEV, DMYTRO",27,"https://media-cdn.cortextech.io/b7a5652c-08e6-4446-a8bd-3dbff1f2034d.png","JER","JLM","Hapoel Jerusalem Basketball Club","https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png",12,0,11.3847222222222,5.2,1.8,2.9,"62.9%",0.1,0.2,"50%",1.3,1.8,"72.7%",1.5,2.3,3.8,0.3,0.2,1.1,0.6,0.1,1.9,2,7.4
"28-01-2026 04:48:42",122,"013845","AKOBUNDU-EHIOGU, KAODIRICHI",26,"https://media-cdn.cortextech.io/35f8fde6-0d7e-44e2-8a4d-c240fd7c691c.png","MAN","MAN","BAXI Manresa","https://media-cdn.cortextech.io/a28053c7-ada4-47de-ae4c-888c1b3996b6.png",15,7,13.5711111111111,4.7,1.9,2.3,"82.4%",0,0.1,"0%",0.9,1.2,"77.8%",1.1,1.3,2.4,0.5,0.3,0.4,1.7,0.1,2.2,1.1,7.3
